request_id,connection_ms,handshake_ms,resource_read_ms,tool_call_ms,total_time_ms,database_ms,rest_ms,operation_type
1,207.8912239521742,198.8450139760971,10563.728213077411,0,11090.351628139615,7263.588848058134,8501.051543746144,modelcard
2,208.78419908694923,198.52353003807366,10387.242083903402,0,10893.193229101598,7034.324103035033,8284.968373831362,modelcard
3,208.67508510127664,198.9089730195701,10622.641724068671,0,11135.279342066497,7253.441740758717,8525.21286625415,modelcard
4,207.68624916672707,198.10877204872668,10513.362166006118,0,11017.968327039853,7083.750789985061,8403.438427019864,modelcard
5,207.25965895690024,198.23777419514954,10581.601943820715,0,11085.210774093866,7221.92548494786,8481.111439876258,modelcard
6,207.79145695269108,198.9031818229705,10549.455797066912,0,11054.027433972806,7135.730381589383,8494.54260384664,modelcard
7,207.9376911278814,208.0670741852373,10344.762192806229,0,10862.020439002663,7176.699249073863,8403.791087213904,modelcard
8,208.90132896602154,199.28208296187222,10358.272186946124,0,10874.328518053517,7059.025847353041,8377.54732882604,modelcard
9,208.17606896162033,198.18761991336942,10489.675038959831,0,10996.439198032022,7150.30086087063,8374.488475266844,modelcard
10,208.22986983694136,199.05972597189248,10795.502190012485,0,11300.729968119413,7177.091294433922,8409.122527111322,modelcard
11,208.05206499062479,198.62352800555527,10971.783634042367,0,11476.77723201923,7322.215087711811,8566.839640960097,modelcard
12,208.77742604352534,198.38902819901705,10190.721232211217,0,10695.268823066726,7025.842455215752,8242.57183400914,modelcard
13,207.4518189765513,198.57909390702844,10454.711728030816,0,10970.204201992601,7189.212362281978,8392.115896567702,modelcard
14,207.74792484007776,199.00871999561787,10425.226854160428,0,10934.799541952088,7140.521466732025,8351.255060173571,modelcard
15,208.54195393621922,198.58601689338684,10722.948891110718,0,11228.418953018263,7453.75049021095,8716.106486972421,modelcard
16,206.83430111967027,198.57293204404414,10286.90885915421,0,10795.133698964491,6989.765154197812,8212.474862113595,modelcard
17,207.4895710684359,198.772907955572,10467.907592887059,0,10979.711887892336,7168.787334114313,8401.366867125034,modelcard
18,208.532557124272,198.7428809516132,10886.61095011048,0,11392.982644028962,7346.247628796846,8779.127954971045,modelcard
19,210.0917820353061,199.14820208214223,10444.076867075637,0,10962.314049014822,7249.890225939453,8480.861665681005,modelcard
20,209.13152093999088,198.88964691199362,10335.565758869052,0,10848.327059997246,6977.296805940568,8310.836951248348,modelcard
21,208.3762341644615,198.91069689765573,11499.930588062853,0,12010.254224995151,7553.034952841699,9024.236948229373,modelcard
22,208.0241939984262,198.58542596921325,10761.352174915373,0,11266.642440110445,7320.607619825751,8742.394408211112,modelcard
23,207.72096398286521,198.30203405581415,10276.717399945483,0,10782.949802000076,7067.738567944616,8302.902799099684,modelcard
24,206.5799841657281,198.3325919136405,10494.224743917584,0,11004.173417109996,7121.106487233192,8444.969350006431,modelcard
25,208.01036804914474,199.70901403576136,10749.87457296811,0,11268.470930168405,7002.453323919326,8264.226100873202,modelcard
26,207.78470416553319,198.6129879951477,10431.861802004278,0,10941.425933036953,7104.2146240361035,8350.108170881867,modelcard
27,207.56816817447543,198.8076730631292,11002.546767005697,0,11506.948143010959,7213.174918666482,8478.47882984206,modelcard
28,206.58632600679994,198.00031906925142,10660.04377999343,0,11162.753763841465,7051.030217669904,8283.070829696953,modelcard
29,206.52400888502598,197.8302299976349,10570.421117823571,0,11077.34158099629,7194.984759669751,8467.92944567278,modelcard
30,206.9544461555779,198.87672294862568,10479.72518298775,0,10991.026473930106,7116.828812751919,8385.947317816317,modelcard
31,207.75577006861567,198.75827012583613,10568.219708045945,0,11072.793428087607,7220.68959986791,8453.335525933653,modelcard
32,207.80776697210968,198.9479069598019,11572.62699585408,0,12081.58996119164,7639.167546760291,9087.863720022142,modelcard
33,208.921005949378,198.94444989040494,10934.653368080035,0,11446.672826074064,7336.035482119769,8570.172706618905,modelcard
34,207.80583401210606,198.05025192908943,10408.47698180005,0,10912.665718933567,7052.483937703073,8283.106179907918,modelcard
35,207.04724080860615,199.12571995519102,11249.556937022135,0,11757.006653118879,7668.752323836088,9151.157511863858,modelcard
36,207.93263195082545,199.01084410957992,10301.789025077596,0,10812.887786189094,7068.266150075942,8323.779980652034,modelcard
37,207.16601400636137,198.53986101225019,11531.841261778027,0,12046.147351153195,7565.160434693098,9031.77794860676,modelcard
38,207.92928501032293,198.32469685934484,10784.367612097412,0,11289.443575078622,7257.799325045198,8646.764727775007,modelcard
39,207.30920205824077,198.61989095807076,11431.123496033251,0,11944.34512918815,7577.105950098485,9052.739236038178,modelcard
40,206.96126902475953,198.4660818707198,11281.450398964807,0,11787.446537986398,7361.06296395883,8806.485038250685,modelcard
41,207.82744488678873,198.90117784962058,10354.007025016472,0,10866.17216700688,7061.429710127413,8294.086702167988,modelcard
42,207.32100401073694,198.5243810340762,10474.424728890881,0,10978.34635595791,7091.709008906037,8442.182460334152,modelcard
43,207.9415679909289,198.50430404767394,10356.269400101155,0,10867.140264017507,7036.134494934231,8272.547968197614,modelcard
44,207.31510315090418,198.20112502202392,10489.425752079114,0,10993.440462974831,7037.83415723592,8377.402131911367,modelcard
45,206.71318378299475,198.7638408318162,10695.461384020746,0,11201.66460191831,7095.2602121979,8337.450051214546,modelcard
46,207.24029303528368,198.08103004470468,10415.492722997442,0,10928.344953106716,7118.995618075132,8347.154477145523,modelcard
47,208.41054897755384,199.09238698892295,10538.204499986023,0,11043.568963883445,7200.464583002031,8429.457859136164,modelcard
48,209.44231399334967,198.98322178050876,10304.405482951552,0,10815.914303995669,6986.586093902588,8242.493673227727,modelcard
49,207.9094578512013,198.92461318522692,10468.953865813091,0,10986.360088922083,7286.361560691148,8526.063547935337,modelcard
50,208.90232105739415,198.79951793700457,10427.05334094353,0,10938.577921129763,7084.819086827338,8412.021748255938,modelcard
1,206.2740600667894,198.6961339134723,0,223.7251379992813,839.3130018375814,5.32073387876153,17.86320796236396,edge
2,206.9601269904524,198.64575006067753,0,222.02430805191398,836.7468370124698,5.089989863336086,17.032315954566002,edge
3,206.26797899603844,198.09903320856392,0,231.7676260136068,845.3184070531279,5.755902733653784,25.617722887545824,edge
4,206.23783208429813,198.38647288270295,0,226.04363807477057,840.2384768705815,4.66518010944128,19.559180364012718,edge
5,207.05721899867058,199.66662512160838,0,224.59445893764496,840.258845128119,4.780356772243977,19.041747320443392,edge
6,206.5115850418806,198.54037184268236,0,223.40170200914145,838.0147649440914,5.3618610836565495,17.924413084983826,edge
7,206.54217316769063,197.95894110575318,0,225.06152489222586,840.8215919043869,6.259700283408165,18.46623281016946,edge
8,206.9177171215415,198.60132597386837,0,224.47419399395585,839.7564738988876,5.594739690423012,18.07938516139984,edge
9,206.48979512043297,198.48060002550483,0,225.24069203063846,840.2666500769556,5.052699241787195,18.226291984319687,edge
10,207.79827912338078,198.4782451763749,0,229.44360598921776,845.0056998990476,7.4385590851306915,22.152511402964592,edge
11,206.6584511194378,198.54268594644964,0,223.4616340138018,838.1709589157254,5.564353428781033,18.032005988061428,edge
12,206.11136499792337,198.39645200408995,0,225.19413498230278,842.4618989229202,8.51533655077219,20.55699797347188,edge
13,206.30962611176074,211.46455686539412,0,222.4342068657279,849.9041500035673,5.500141065567732,17.24054617807269,edge
14,206.7690878175199,198.5470438376069,0,225.17444798722863,840.4831569641829,6.477711256593466,18.871575128287077,edge
15,208.06525996886194,198.00802296958864,0,235.08762381970882,850.3875969909132,5.161033011972904,27.610523160547018,edge
16,206.40559680759907,198.91172903589904,0,223.4478578902781,838.393506128341,4.597351886332035,16.67874911800027,edge
17,205.98152093589306,197.9263301473111,0,227.1606840658933,839.8397900164127,5.7831727899611,20.55973280221224,edge
18,206.7552430089563,198.51469295099378,0,222.09195396862924,836.3226209767163,5.124104209244251,17.254413105547428,edge
19,206.45893597975373,198.40950681827962,0,225.34413589164615,838.6582131497562,5.875498056411743,19.210774917155504,edge
20,206.66611497290432,198.32747196778655,0,226.85503005050123,841.4138320367783,6.859570275992155,20.841543097048998,edge
21,206.81795990094543,199.33710689656436,0,224.80943310074508,840.6566211488098,5.463982932269573,17.854071222245693,edge
22,206.2477811705321,198.60053504817188,0,220.72514100000262,835.5466960929334,3.891885280609131,15.426682773977518,edge
23,206.43442100845277,198.12360010109842,0,221.64905397221446,835.1273389998823,4.11323131993413,16.190459951758385,edge
24,205.9740978293121,199.4831901974976,0,222.02199301682413,836.5896721370518,5.172955337911844,17.130258958786726,edge
25,206.39579789713025,198.29822797328234,0,224.2981530725956,838.2613980211318,6.251286249607801,18.841309938579798,edge
26,209.73345986567438,199.18199605308473,0,223.7828872166574,841.9095219578594,6.947005167603493,18.73478014022112,edge
27,206.3553729094565,198.59242998063564,0,239.10934897139668,853.716311044991,5.030597094446421,32.249622978270054,edge
28,207.02579990029335,198.51454393938184,0,222.42079116404057,837.8161431755871,4.250357858836651,16.858347225934267,edge
29,206.6945491824299,198.40419688262045,0,220.97746399231255,834.8262540530413,4.2932601645588875,16.078969929367304,edge
30,206.00259117782116,198.92125600017607,0,222.27914608083665,836.9864961132407,5.110748577862978,17.351313959807158,edge
31,206.7134149838239,198.31753405742347,0,224.8551689554006,839.9175051599741,7.201011758297682,19.303167704492807,edge
32,206.43796701915562,209.61170201189816,0,222.68121992237866,851.0418040677905,5.397827830165625,17.684701830148697,edge
33,206.22446690686047,198.20360001176596,0,222.85508690401912,836.4337098319083,5.539454985409975,17.325005028396845,edge
34,206.26860996708274,198.3263399451971,0,223.0292831081897,837.0109628885984,6.1403559520840645,18.271807115525007,edge
35,205.61023498885334,199.60463815368712,0,222.66759420745075,836.988490074873,5.956110078841448,18.26774002984166,edge
36,206.32127905264497,198.45797796733677,0,225.74987588450313,840.743554988876,5.957571789622307,19.082823302596807,edge
37,207.6429680455476,198.0742469895631,0,222.63390105217695,837.0030580554157,5.350369028747082,17.803675960749388,edge
38,206.55593904666603,198.390580015257,0,226.67889902368188,843.9328279346228,5.613644607365131,20.889183972030878,edge
39,205.92222991399467,198.59202904626727,0,236.1880091484636,851.8917080946267,5.063990596681833,28.822544030845165,edge
40,207.5430911500007,198.35304096341133,0,223.6343079712242,839.7746370173991,5.566105246543884,18.133717123419046,edge
41,207.37370289862156,197.98526098020375,0,225.1999848522246,840.2155139483511,5.790729075670242,18.021066207438707,edge
42,205.90610895305872,198.56586889363825,0,224.67303602024913,840.8127448055893,5.564132705330849,17.928322311490774,edge
43,207.1852188091725,199.7043250594288,0,227.32003196142614,843.3744101785123,5.714104976505041,20.062195602804422,edge
44,206.85194386169314,198.37765605188906,0,226.48975416086614,841.6289261076599,5.300053860992193,19.349705893546343,edge
45,205.81347588449717,198.14008101820946,0,226.70866502448916,840.1631361339241,6.103146355599165,20.16699267551303,edge
46,206.23016799800098,199.39504517242312,0,222.1591998822987,837.1838768944144,5.034144036471844,17.0989609323442,edge
47,205.95061290077865,197.99813395366073,0,221.5262339450419,834.109648829326,4.784745164215565,16.53787400573492,edge
48,206.09264890663326,198.29551200382411,0,222.84113010391593,836.3691591657698,5.207470152527094,17.541582696139812,edge
49,206.62309508770704,199.32839996181428,0,225.08705407381058,840.6948731280863,4.80998307466507,18.344133161008358,edge
50,205.88180399499834,198.44801886938512,0,231.6311600152403,845.0776250101626,4.431238863617182,16.322468873113394,edge
